mlbId,status,title,price,imageStatus,format,path,exists,width,height,issue
"MLB5288925380","published","3x Kit Esp32 Sim800l Módulo Sem Fio Gprs T-call + Antena","R$ 382,00","verified","webp","public/products/MLB5288925380/optimized/main.webp","yes","500","500",""
"MLB5288925380","published","3x Kit Esp32 Sim800l Módulo Sem Fio Gprs T-call + Antena","R$ 382,00","verified","jpg","public/products/MLB5288925380/optimized/main.jpg","yes","500","500",""
"MLB4417997973","pending-review","Kit 2x Módulos Esp32 Ttgo T-call Sim800l + Antena (novo)","R$ 245,00","verified","avif","public/products/MLB4417997973/optimized/main.avif","yes","500","465",""
"MLB4417997973","pending-review","Kit 2x Módulos Esp32 Ttgo T-call Sim800l + Antena (novo)","R$ 245,00","verified","webp","public/products/MLB4417997973/optimized/main.webp","yes","500","465",""
"MLB4417997973","pending-review","Kit 2x Módulos Esp32 Ttgo T-call Sim800l + Antena (novo)","R$ 245,00","verified","jpg","public/products/MLB4417997973/optimized/main.jpg","yes","500","465",""
"MLB4669503045","published","Sensor De Corrente Ac Não Invasivo Sct-013 100a 50ma","R$ 63,00","verified","avif","public/products/MLB4669503045/optimized/main.avif","yes","500","438",""
"MLB4669503045","published","Sensor De Corrente Ac Não Invasivo Sct-013 100a 50ma","R$ 63,00","verified","webp","public/products/MLB4669503045/optimized/main.webp","yes","500","438",""
"MLB4669503045","published","Sensor De Corrente Ac Não Invasivo Sct-013 100a 50ma","R$ 63,00","verified","jpg","public/products/MLB4669503045/optimized/main.jpg","yes","500","438",""
"MLB5375698778","pending-review","Kit 10x Módulos Esp32 Ttgo T-call Sim800l + Antena (novo)","R$ 1.259,00","verified","avif","public/products/MLB5375698778/optimized/main.avif","yes","497","500",""
"MLB5375698778","pending-review","Kit 10x Módulos Esp32 Ttgo T-call Sim800l + Antena (novo)","R$ 1.259,00","verified","webp","public/products/MLB5375698778/optimized/main.webp","yes","497","500",""
"MLB5375698778","pending-review","Kit 10x Módulos Esp32 Ttgo T-call Sim800l + Antena (novo)","R$ 1.259,00","verified","jpg","public/products/MLB5375698778/optimized/main.jpg","yes","497","500",""
"MLB4051985849","pending-review","Kit 10x Módulos Esp32 Ttgo T-call Sim800l + Antena (novo)","R$ 1.259,00","verified","avif","public/products/MLB4051985849/optimized/main.avif","yes","500","500",""
