mlbId,title,format,distPath,exists,width,height,issue
"MLB4669463945","Kit 10un Mini fonte Hi-link HLK-PM01 110-220vac - 5vdc","jpg","dist/products/MLB4669463945/optimized/main.jpg","yes","500","436",""
"MLB5272698878","Contator Tripolar 4011 40 A 220 V 3p com Contatos Auxiliares","avif","dist/products/MLB5272698878/optimized/main.avif","yes","467","500",""
"MLB5272698878","Contator Tripolar 4011 40 A 220 V 3p com Contatos Auxiliares","webp","dist/products/MLB5272698878/optimized/main.webp","yes","467","500",""
"MLB5272698878","Contator Tripolar 4011 40 A 220 V 3p com Contatos Auxiliares","jpg","dist/products/MLB5272698878/optimized/main.jpg","yes","467","500",""
"MLB3957971855","Kit com 100 Prensa Cabos Pg9 Cinza - Vedação Ip68","avif","dist/products/MLB3957971855/optimized/main.avif","yes","500","490",""
"MLB3957971855","Kit com 100 Prensa Cabos Pg9 Cinza - Vedação Ip68","webp","dist/products/MLB3957971855/optimized/main.webp","yes","500","490",""
"MLB3957971855","Kit com 100 Prensa Cabos Pg9 Cinza - Vedação Ip68","jpg","dist/products/MLB3957971855/optimized/main.jpg","yes","500","490",""
"MLB5272894966","Kit 200 Barra de Pinos - Fêmea - 1x15 - 2,54 mm - Pic/arduino Preto","avif","dist/products/MLB5272894966/optimized/main.avif","yes","434","500",""
"MLB5272894966","Kit 200 Barra de Pinos - Fêmea - 1x15 - 2,54 mm - Pic/arduino Preto","webp","dist/products/MLB5272894966/optimized/main.webp","yes","434","500",""
"MLB5272894966","Kit 200 Barra de Pinos - Fêmea - 1x15 - 2,54 mm - Pic/arduino Preto","jpg","dist/products/MLB5272894966/optimized/main.jpg","yes","434","500",""
"MLB7143332292","Kit 3x Módulo GPS NEO-6M V2 com Antena Arduino ESP32 Esp8266","avif","dist/products/MLB7143332292/optimized/main.avif","yes","500","500",""
"MLB7143332292","Kit 3x Módulo GPS NEO-6M V2 com Antena Arduino ESP32 Esp8266","webp","dist/products/MLB7143332292/optimized/main.webp","yes","500","500",""
"MLB7143332292","Kit 3x Módulo GPS NEO-6M V2 com Antena Arduino ESP32 Esp8266","jpg","dist/products/MLB7143332292/optimized/main.jpg","yes","500","500",""
